,rating,review_length_chars,review_length_words,helpful_votes,is_verified,normalized_rating,days_since_start,is_positive,is_negative,mentions_sound,mentions_battery,mentions_quality,mentions_easy,mentions_bass,mentions_bluetooth,mentions_waterproof,mentions_price
rating,1.0,0.061616648075653986,0.11466553225031495,0.24631733573572673,0.004182888297087838,0.9999999999999996,0.009198380327539233,0.8639263108481954,-0.7916770785407636,0.13544332477552154,0.1107051627176627,-0.06798875735162427,0.2742932776562624,0.18181095784003923,0.0072556578172603805,0.20433376109666504,-0.33077448030470813
review_length_chars,0.061616648075653986,1.0,0.07555255517967116,0.05400674589839808,0.02032050120227422,0.06161664807565406,-0.000902113283018298,0.09129368715906462,-0.037704021937950305,-0.4043757782298489,-0.03004648349018805,-0.18088394377778486,-0.2578563703488742,-0.10516411969533862,0.5197943015318779,0.5810713784519175,-0.24019066932592226
review_length_words,0.11466553225031495,0.07555255517967116,1.0,0.009691517203321206,0.0009729581344194516,0.1146655322503151,-0.0015931834086601582,0.05203780703034838,-0.20869109764655314,0.02551957266598177,0.2395112616491988,-0.2784481510667172,0.3171602385113497,-0.27031875511712894,-0.27656008863709325,-0.18284031701784023,0.29652979810124885
helpful_votes,0.24631733573572673,0.05400674589839808,0.009691517203321206,1.0,-0.01877471734226386,0.24631733573572642,0.015399254834054622,0.2948166024602291,-0.1725510229217319,0.02415959424732261,0.06940911321828984,-0.03196338260359967,0.09937587837119098,0.04791144520228955,0.03254081108374839,0.06306316663304376,-0.17025712124295478
is_verified,0.004182888297087838,0.02032050120227422,0.0009729581344194516,-0.01877471734226386,1.0,0.004182888297087857,0.0071451659205953415,0.009411819828268803,-0.01594372682722706,-0.012232803299337415,-0.0114260082536851,0.008220885636541195,0.0028760695986053924,0.0018258771685621073,0.017654708165381356,0.012800965701957588,-0.005172988713245938
normalized_rating,0.9999999999999996,0.06161664807565406,0.1146655322503151,0.24631733573572642,0.004182888297087857,1.0,0.009198380327539401,0.8639263108481948,-0.7916770785407636,0.1354433247755216,0.11070516271766265,-0.06798875735162438,0.2742932776562617,0.18181095784003934,0.007255657817260273,0.20433376109666493,-0.3307744803047077
days_since_start,0.009198380327539233,-0.000902113283018298,-0.0015931834086601582,0.015399254834054622,0.0071451659205953415,0.009198380327539401,1.0,0.014614477423438988,-0.002351220430827953,-0.011056070754817987,-0.01268642934980089,-0.014089832355099826,-0.002919138262472373,0.012288171701429098,0.001565148424039927,0.0012112341980099613,-0.007553706270030299
is_positive,0.8639263108481954,0.09129368715906462,0.05203780703034838,0.2948166024602291,0.009411819828268803,0.8639263108481948,0.014614477423438988,1.0,-0.6464315062635763,0.11953627737277175,0.16836735685277085,-0.08035260165589933,0.3111168301593872,0.2377223387772132,0.0550358343843672,0.24140939635638514,-0.4906290576119194
is_negative,-0.7916770785407636,-0.037704021937950305,-0.20869109764655314,-0.1725510229217319,-0.01594372682722706,-0.7916770785407636,-0.002351220430827953,-0.6464315062635763,1.0,-0.15349018105309045,0.008994420706910583,0.06690564138333152,-0.20111572114388257,-0.09392842551291979,0.050391621875804406,-0.15605463971283923,0.08006139779993138
mentions_sound,0.13544332477552154,-0.4043757782298489,0.02551957266598177,0.02415959424732261,-0.012232803299337415,0.1354433247755216,-0.011056070754817987,0.11953627737277175,-0.15349018105309045,1.0,0.47930768042410515,0.40920070714594037,0.20474651629574972,-0.11203866362614581,-0.2912585870654417,-0.38394911602613235,0.3084847957429232
mentions_battery,0.1107051627176627,-0.03004648349018805,0.2395112616491988,0.06940911321828984,-0.0114260082536851,0.11070516271766265,-0.01268642934980089,0.16836735685277085,0.008994420706910583,0.47930768042410515,1.0,0.18295828032382586,0.48514715136382186,-0.32879497269653984,-0.18428179102044256,-0.24292787888212,-0.16874643304015957
mentions_quality,-0.06798875735162427,-0.18088394377778486,-0.2784481510667172,-0.03196338260359967,0.008220885636541195,-0.06798875735162438,-0.014089832355099826,-0.08035260165589933,0.06690564138333152,0.40920070714594037,0.18295828032382586,1.0,0.265973608487917,-0.131186679761099,0.3759564695290041,0.07921839678715617,0.2175354485419633
mentions_easy,0.2742932776562624,-0.2578563703488742,0.3171602385113497,0.09937587837119098,0.0028760695986053924,0.2742932776562617,-0.002919138262472373,0.3111168301593872,-0.20111572114388257,0.20474651629574972,0.48514715136382186,0.265973608487917,1.0,-0.2974180611515787,-0.16669577561158727,-0.2197452660064544,-0.152642957188309
mentions_bass,0.18181095784003923,-0.10516411969533862,-0.27031875511712894,0.04791144520228955,0.0018258771685621073,0.18181095784003934,0.012288171701429098,0.2377223387772132,-0.09392842551291979,-0.11203866362614581,-0.32879497269653984,-0.131186679761099,-0.2974180611515787,1.0,-0.17506650807026738,0.25005770216029977,-0.013964038540404015
mentions_bluetooth,0.0072556578172603805,0.5197943015318779,-0.27656008863709325,0.03254081108374839,0.017654708165381356,0.007255657817260273,0.001565148424039927,0.0550358343843672,0.050391621875804406,-0.2912585870654417,-0.18428179102044256,0.3759564695290041,-0.16669577561158727,-0.17506650807026738,1.0,0.6003800820412956,-0.08984884573925479
mentions_waterproof,0.20433376109666504,0.5810713784519175,-0.18284031701784023,0.06306316663304376,0.012800965701957588,0.20433376109666493,0.0012112341980099613,0.24140939635638514,-0.15605463971283923,-0.38394911602613235,-0.24292787888212,0.07921839678715617,-0.2197452660064544,0.25005770216029977,0.6003800820412956,1.0,-0.1184424646329964
mentions_price,-0.33077448030470813,-0.24019066932592226,0.29652979810124885,-0.17025712124295478,-0.005172988713245938,-0.3307744803047077,-0.007553706270030299,-0.4906290576119194,0.08006139779993138,0.3084847957429232,-0.16874643304015957,0.2175354485419633,-0.152642957188309,-0.013964038540404015,-0.08984884573925479,-0.1184424646329964,1.0
